,store,type,menu coffee,menu non coffee,fillter
0,NAP's Coffee & Roasters,[slowbar],"hazelnut latte,vanilla latte,caramel latte,espresso,americano,cappuccino,mocha,latte","Red Plum Sparking,Honey Lemon Sparking,Lychee Sparking,Mint Lime Sparking,Vanilla Milk,Hazelnut Milk,Caramel Milk,Peach Tea,Apple tea,Taro Latte,Thai tea,Lemon tea,matcha,cocoa",
1,sangob,,"espresso,americano,cappuccino,mocha,latte,cold brew,americano yuzu,iced espresso coconut,latte coconut,latte mint,house blend caramel macchiato","milk caremel,matcha milk,apple tea,peach tea,cocoa mint",
2,SongSarn,,"espresso,americano,cappuccino,mocha,latte,cold brew","cocoa,matcha,peach tea,vanilla ginger,thai tea,milk careme,jasmine green tea",
3,LIFE Roasters,,"sparkling americano,tonic americano,caramel macchiato,coconut cold brew,orange cold brew,lemon honey cold brew,pure cold brew,yuzu honey cold brew,espresso,americano,cappuccino,mocha,latte","Iced cocoa,Iced cocoa mint,Iced matcha latte,Iced green tea latte,Iced ceylon tea latte,Iced yuzu honey soda,Iced matcha coconut,Hot matcha latte,Hot cocoa",
4,Nap x Warin,,"Espresso Sparkling Yuzu,Lychee Espresso Tonic,Espresso Sparkling Lime,hazelnut latte,vanilla latte,caramel latte,espresso,americano,cappuccino,mocha,latte","Matcha Sparkling Yuzu,Yuzu Black Lemon Tea,Choco Mint,Black Tropicana,Taro Latte,Lemon tea,Thai tea,Cocoa,Matcha",
5,BalconyKiss Coffee,,,,
6,Anna Roasters,,,,
7,ROOF COFFEE,,,,
8,11.11 Gallery and Coffee,,,,
9,Abe Specialty Coffee,,,,
10,Amarna,,"espresso,americano,cappuccino,mocha,latte,americano orange,americano lemon,americano yuzu,americano peach,cold brew,cold brew milk,cold brew orange,cold brew yuzu,coldbrew peach,cold brew lychee","milk caremel,cocoa,thai tea,peach tea,matcha latte,caramel salted chocolate,honey lemon soda,honey lemon soda yuzu,honey lemon soda peach, matcha honey lemon soda",
11,Attaroast,,,,
12,BaanHuakham Cafe & Farmstay,,,,
13,Blendstorm Coffee Roasters,,,,
14,Blues Coffee,,,,
15,LAVA  JAVA Coffee Roasters,,,,
16,Bossa cafe,,,,
17,Commune Drink/Talk/Share,,,,
18,GODFATHER COFFEE,,"espresso,americano,cappuccino,mocha,latte,long black,piccolo,flat white,orange coffee,godfather,the winner,omg!,city of candle,black rose,sanae e-san","matcha latte,matcha honey,matcha orange,hojicha latte,chocolate nutella,thai tea,honey lemon soda,mr.black,the rose garden,pok 9,joker",
19,Impression Sunrise,,,,
20,MiND-K coffee and bake,,,,
21,My Papilio,,,,
22,PENSER CAFE,,,,
23,Phantae Coffee,,,,
24,REDCOFFEE,,,,
25,Rogue Roasters,,"espresso,americano,cappuccino,mocha,latte,vanilla latte,cappuccino,flat white,piccolo,cold brew,cold brew milk,cold brew yuzu,drip thai orgin,drip import origin,blend","cocoa,matcha,matcha yuzu,thai tea,peach tea,honey lemon soda,yuzu soda,lychee soda",
26,ROSIEHOLM,,,,
27,r o u n d,,,,
28,Saereesook,,,,
29,Shake Coffee,,,,
30,Snoopcat Cafe,,,,
31,Stufe coffee,,,,
32,Tree Cafe Rim Moon,,,,
33,Yuanjai Cafe,,"Iced Americano,Iced Latte,Iced Cappuccino,Iced Mocha,Iced Espresso,Dirty,Iced Caramel Macchiato,Iced Espresso Lychee soda,Espresso Tonic,Espresso Peach soda,Yuanjai,Pandanus juice Espresso coffee,Coldcha,Ethiopia drip,Kenya drip","Iced Thai Green Tea,Iced Pink Milk,Iced Thai Tea,Iced Lemonade Tea,Iced Peach Tea,Iced Cocoa,Iced Caramel Milk,Iced Chocolate Milk,Mixberry Milk,Pink lemonade,Lychee Rose Soda,Orange Mixberry Soda",
